04-Feb-26 16:52:47 - Created loss log file ./logs/loss_log_20260204165247_.npy.npz
04-Feb-26 16:52:47 - Number of parquet files: 4741
04-Feb-26 16:52:47 - Train files: 3792
04-Feb-26 16:52:47 - Validation files: 949
04-Feb-26 16:52:47 - Loading training data...
04-Feb-26 16:52:47 - PyTorch version 2.5.1 available.
04-Feb-26 16:52:47 - TensorFlow version 2.18.0 available.
04-Feb-26 16:52:53 - Training samples: 21424800
04-Feb-26 16:52:53 - Loading validation data...
04-Feb-26 16:52:54 - Validation samples: 5361850
04-Feb-26 16:52:54 - Total training steps per epoch (estimated): 334762
04-Feb-26 16:52:55 - Running without torch.compile (more stable for training).
04-Feb-26 16:52:55 - Training model...
04-Feb-26 16:53:00 - Features shape: torch.Size([64, 4])
04-Feb-26 16:53:00 - Elevation shape: torch.Size([64, 750])
04-Feb-26 16:53:00 - Targets shape: torch.Size([64])
04-Feb-26 16:53:00 - Mask shape: torch.Size([64, 750])
04-Feb-26 16:53:00 - Preds shape: torch.Size([64])
04-Feb-26 20:18:49 - [Epoch=1 | Step=22000/334762] loss=9.3923
04-Feb-26 20:19:40 - [Epoch=1 | Step=22100/334762] loss=10.1183
04-Feb-26 20:20:32 - [Epoch=1 | Step=22200/334762] loss=9.2197
04-Feb-26 20:21:23 - [Epoch=1 | Step=22300/334762] loss=9.4797
04-Feb-26 20:22:14 - [Epoch=1 | Step=22400/334762] loss=8.5622
04-Feb-26 20:23:05 - [Epoch=1 | Step=22500/334762] loss=7.8082
04-Feb-26 20:23:56 - [Epoch=1 | Step=22600/334762] loss=6.7686
04-Feb-26 20:24:48 - [Epoch=1 | Step=22700/334762] loss=6.7759
04-Feb-26 20:25:39 - [Epoch=1 | Step=22800/334762] loss=8.3296
04-Feb-26 20:26:30 - [Epoch=1 | Step=22900/334762] loss=7.1575
04-Feb-26 20:27:22 - [Epoch=1 | Step=23000/334762] loss=6.4842
04-Feb-26 20:28:14 - [Epoch=1 | Step=23100/334762] loss=10.1040
04-Feb-26 20:29:05 - [Epoch=1 | Step=23200/334762] loss=10.9530
04-Feb-26 20:29:57 - [Epoch=1 | Step=23300/334762] loss=16.4785
04-Feb-26 20:30:49 - [Epoch=1 | Step=23400/334762] loss=18.9424
04-Feb-26 20:31:40 - [Epoch=1 | Step=23500/334762] loss=16.6482
04-Feb-26 20:32:31 - [Epoch=1 | Step=23600/334762] loss=15.6887
04-Feb-26 20:33:23 - [Epoch=1 | Step=23700/334762] loss=15.9974
04-Feb-26 20:34:14 - [Epoch=1 | Step=23800/334762] loss=20.0552
04-Feb-26 20:35:06 - [Epoch=1 | Step=23900/334762] loss=17.5980
04-Feb-26 20:35:57 - [Epoch=1 | Step=24000/334762] loss=15.2273
04-Feb-26 20:36:49 - [Epoch=1 | Step=24100/334762] loss=21.6011
04-Feb-26 20:37:41 - [Epoch=1 | Step=24200/334762] loss=15.1479
04-Feb-26 20:38:32 - [Epoch=1 | Step=24300/334762] loss=10.7180
04-Feb-26 20:39:24 - [Epoch=1 | Step=24400/334762] loss=11.8014
04-Feb-26 20:40:17 - [Epoch=1 | Step=24500/334762] loss=17.1677
04-Feb-26 20:41:09 - [Epoch=1 | Step=24600/334762] loss=14.5156
04-Feb-26 20:42:01 - [Epoch=1 | Step=24700/334762] loss=19.7933
04-Feb-26 20:42:52 - [Epoch=1 | Step=24800/334762] loss=14.8337
04-Feb-26 20:43:44 - [Epoch=1 | Step=24900/334762] loss=10.9467
04-Feb-26 20:44:35 - [Epoch=1 | Step=25000/334762] loss=16.3617
04-Feb-26 20:45:27 - [Epoch=1 | Step=25100/334762] loss=17.2558
04-Feb-26 20:46:19 - [Epoch=1 | Step=25200/334762] loss=14.0153
04-Feb-26 20:47:11 - [Epoch=1 | Step=25300/334762] loss=13.6224
04-Feb-26 20:48:02 - [Epoch=1 | Step=25400/334762] loss=20.3452
04-Feb-26 20:48:54 - [Epoch=1 | Step=25500/334762] loss=14.9779
