20-Jan-26 18:17:21 - Created path loss file ./logs/loss_log_20260120181721_.npy.npz
20-Jan-26 18:17:22 - Training model...
20-Jan-26 18:17:31 - Total Steps = 84218
20-Jan-26 18:17:32 - Input Features Shape: torch.Size([30, 4])
20-Jan-26 18:17:32 - Elevation Data Shape: torch.Size([30, 768])
20-Jan-26 18:17:32 - Path Loss Shape: torch.Size([30])
20-Jan-26 18:17:32 - extra_features_tokens.shape torch.Size([30, 512])
20-Jan-26 18:17:32 - Elevation Data Shape: torch.Size([30, 768])
20-Jan-26 18:17:32 - pos_embedded_tokens.shape torch.Size([30, 768, 512])
20-Jan-26 18:17:32 - score.shape torch.Size([30, 768, 512])
20-Jan-26 18:17:32 - hidden1.shape torch.Size([30, 768, 512])
20-Jan-26 18:17:32 - pooled_score.shape torch.Size([30, 512])
20-Jan-26 18:17:32 - hidden2.shape torch.Size([30, 2000])
20-Jan-26 18:17:32 - logits.shape torch.Size([30, 1])
20-Jan-26 19:53:44 - [Epoch=1 | Step=25800/84218] loss=0.0651
20-Jan-26 19:54:05 - [Epoch=1 | Step=25900/84218] loss=0.6767
20-Jan-26 19:54:27 - [Epoch=1 | Step=26000/84218] loss=0.0049
20-Jan-26 19:54:49 - [Epoch=1 | Step=26100/84218] loss=0.7597
20-Jan-26 19:55:10 - [Epoch=1 | Step=26200/84218] loss=0.3395
20-Jan-26 19:55:32 - [Epoch=1 | Step=26300/84218] loss=0.2261
20-Jan-26 19:55:54 - [Epoch=1 | Step=26400/84218] loss=0.0326
20-Jan-26 19:56:15 - [Epoch=1 | Step=26500/84218] loss=0.0512
20-Jan-26 19:56:37 - [Epoch=1 | Step=26600/84218] loss=1.2155
20-Jan-26 19:56:58 - [Epoch=1 | Step=26700/84218] loss=0.0281
20-Jan-26 19:57:19 - [Epoch=1 | Step=26800/84218] loss=1.4013
20-Jan-26 19:57:41 - [Epoch=1 | Step=26900/84218] loss=0.0646
20-Jan-26 19:58:03 - [Epoch=1 | Step=27000/84218] loss=0.1204
20-Jan-26 19:58:25 - [Epoch=1 | Step=27100/84218] loss=0.2115
20-Jan-26 19:58:46 - [Epoch=1 | Step=27200/84218] loss=0.0583
20-Jan-26 19:59:08 - [Epoch=1 | Step=27300/84218] loss=0.2260
20-Jan-26 19:59:30 - [Epoch=1 | Step=27400/84218] loss=0.0162
20-Jan-26 19:59:52 - [Epoch=1 | Step=27500/84218] loss=0.0096
20-Jan-26 20:00:14 - [Epoch=1 | Step=27600/84218] loss=0.0156
20-Jan-26 20:00:35 - [Epoch=1 | Step=27700/84218] loss=0.0704
20-Jan-26 20:00:56 - [Epoch=1 | Step=27800/84218] loss=0.1591
20-Jan-26 20:01:18 - [Epoch=1 | Step=27900/84218] loss=0.0011
20-Jan-26 20:01:40 - [Epoch=1 | Step=28000/84218] loss=0.6343
20-Jan-26 20:02:02 - [Epoch=1 | Step=28100/84218] loss=1.2458
20-Jan-26 20:02:22 - [Epoch=1 | Step=28200/84218] loss=0.0077
20-Jan-26 20:02:44 - [Epoch=1 | Step=28300/84218] loss=0.4858
20-Jan-26 20:03:06 - [Epoch=1 | Step=28400/84218] loss=0.2848
20-Jan-26 20:03:27 - [Epoch=1 | Step=28500/84218] loss=0.0067
20-Jan-26 20:03:48 - [Epoch=1 | Step=28600/84218] loss=0.4056
20-Jan-26 20:04:09 - [Epoch=1 | Step=28700/84218] loss=0.0021
20-Jan-26 20:04:31 - [Epoch=1 | Step=28800/84218] loss=2.6116
20-Jan-26 20:04:52 - [Epoch=1 | Step=28900/84218] loss=0.0254
20-Jan-26 20:05:13 - [Epoch=1 | Step=29000/84218] loss=0.0224
20-Jan-26 20:05:34 - [Epoch=1 | Step=29100/84218] loss=0.0204
20-Jan-26 20:05:56 - [Epoch=1 | Step=29200/84218] loss=0.0206
20-Jan-26 20:06:17 - [Epoch=1 | Step=29300/84218] loss=0.1178
20-Jan-26 20:06:39 - [Epoch=1 | Step=29400/84218] loss=0.0955
