21-Jan-26 10:16:54 - Created path loss file ./logs/loss_log_20260121101654_.npy.npz
21-Jan-26 10:16:56 - Training model...
21-Jan-26 10:17:08 - Total Steps = 84218
21-Jan-26 10:17:08 - Input Features Shape: torch.Size([30, 4])
21-Jan-26 10:17:08 - Elevation Data Shape: torch.Size([30, 768])
21-Jan-26 10:17:08 - Path Loss Shape: torch.Size([30])
21-Jan-26 10:17:08 - extra_features_tokens.shape torch.Size([30, 512])
21-Jan-26 10:17:08 - Elevation Data Shape: torch.Size([30, 768])
21-Jan-26 10:17:08 - pos_embedded_tokens.shape torch.Size([30, 768, 512])
21-Jan-26 10:17:08 - score.shape torch.Size([30, 768, 512])
21-Jan-26 10:17:08 - hidden1.shape torch.Size([30, 768, 512])
21-Jan-26 10:17:08 - pooled_score.shape torch.Size([30, 512])
21-Jan-26 10:17:08 - hidden2.shape torch.Size([30, 2000])
21-Jan-26 10:17:08 - logits.shape torch.Size([30, 1])
21-Jan-26 11:06:01 - [Epoch=1 | Step=13200/84218] loss=0.4750
21-Jan-26 11:06:24 - [Epoch=1 | Step=13300/84218] loss=0.0009
21-Jan-26 11:06:46 - [Epoch=1 | Step=13400/84218] loss=0.0046
21-Jan-26 11:07:08 - [Epoch=1 | Step=13500/84218] loss=0.0005
21-Jan-26 11:07:29 - [Epoch=1 | Step=13600/84218] loss=0.2099
21-Jan-26 11:07:52 - [Epoch=1 | Step=13700/84218] loss=0.0329
21-Jan-26 11:08:14 - [Epoch=1 | Step=13800/84218] loss=0.0083
21-Jan-26 11:08:36 - [Epoch=1 | Step=13900/84218] loss=0.0197
21-Jan-26 11:08:58 - [Epoch=1 | Step=14000/84218] loss=0.0003
21-Jan-26 11:09:21 - [Epoch=1 | Step=14100/84218] loss=0.4329
21-Jan-26 11:09:43 - [Epoch=1 | Step=14200/84218] loss=0.2058
21-Jan-26 11:10:05 - [Epoch=1 | Step=14300/84218] loss=0.0156
21-Jan-26 11:10:27 - [Epoch=1 | Step=14400/84218] loss=0.0167
21-Jan-26 11:10:49 - [Epoch=1 | Step=14500/84218] loss=0.2592
21-Jan-26 11:11:11 - [Epoch=1 | Step=14600/84218] loss=0.0026
21-Jan-26 11:11:33 - [Epoch=1 | Step=14700/84218] loss=0.0689
21-Jan-26 11:11:56 - [Epoch=1 | Step=14800/84218] loss=0.0052
21-Jan-26 11:12:18 - [Epoch=1 | Step=14900/84218] loss=0.0008
21-Jan-26 11:12:41 - [Epoch=1 | Step=15000/84218] loss=0.0030
21-Jan-26 11:13:02 - [Epoch=1 | Step=15100/84218] loss=0.0081
